subjectID,0,1,2,3,4
E002338,0,1,0,0,1
E002473,1,0,1,1,0
E004071,1,1,1,0,1
E004781,1,0,1,0,1
E004934,1,1,1,0,1
E005804,1,1,1,1,0
E006871,0,0,0,1,1
E007303,1,1,1,0,1
E007743,1,0,1,1,0
E007980,1,1,0,1,0
E008241,1,1,0,0,0
E008437,0,1,1,1,1
E008643,0,1,1,1,1
E009667,1,1,0,1,1
E009676,0,0,1,0,0
E011183,0,0,0,1,0
E012115,1,0,1,1,1
E012124,1,1,1,1,0
E012393,1,0,1,0,0
E012678,1,0,1,1,1
E013394,0,1,1,1,1
E015208,1,0,1,1,1
E015378,1,0,1,1,1
E015991,1,0,0,1,1
E016148,1,0,0,1,1
E016870,0,1,0,0,1
E017049,1,1,1,0,1
E018421,0,1,1,1,1
E018574,1,1,1,1,0
E019187,1,0,0,0,1
E019349,1,0,1,1,1
E019793,1,1,1,0,0
E020781,1,1,1,0,0
E020808,0,1,1,1,1
E022083,0,0,1,1,0
E022960,1,1,1,1,0
E023535,1,0,1,0,1
E023681,1,1,1,0,1
E024646,1,0,1,1,1
E025671,1,0,1,1,1
E025912,0,1,1,0,1
E025921,1,0,1,1,1
E029310,0,1,1,1,1
E029796,1,1,1,1,0
E030828,1,1,1,0,1
E030933,1,0,1,1,1
E031941,1,1,0,1,1
E033036,1,0,1,0,0
E033156,0,0,1,0,1
P000648,1,1,1,1,0
P004113,0,1,1,0,0
P005558,1,1,1,0,1
P008579,1,1,0,1,1
P009291,1,0,1,1,1
P009746,0,1,1,0,1
P014839,1,1,0,1,0
P015091,1,1,0,0,1
P015163,1,1,1,1,0
P016803,0,1,1,1,1
P019475,0,1,0,0,1
T000094,1,1,1,1,0
T000272,1,0,0,1,0
T000461,1,1,0,1,0
T002534,1,1,1,0,1
T003353,1,0,1,1,1
T003355,1,1,0,1,1
T003950,1,1,1,1,0
T004341,1,0,0,1,0
T005643,1,0,1,1,1
T005999,1,0,0,1,0
T006266,1,1,1,0,1
T006288,1,0,1,1,0
T007748,1,1,1,1,0
T007750,1,0,1,1,0
T008025,0,1,1,1,1
T008246,0,1,1,1,1
T008631,1,1,1,0,1
T009275,1,1,1,1,0
T009280,1,1,0,1,1
T009909,1,1,1,1,0
T010520,0,1,1,1,1
T010532,1,1,1,1,0
T011676,1,1,1,1,0
T012121,1,1,1,0,1
T012138,0,1,0,1,0
T012312,1,1,0,0,1
T012374,1,1,1,1,0
T012389,1,1,0,1,1
T012983,1,1,0,0,1
T013431,0,1,1,1,0
T013832,0,1,1,0,1
T014575,1,1,0,0,1
T014806,0,1,0,0,1
T014827,1,0,1,1,1
T016234,1,0,1,0,1
T016811,1,1,0,1,1
T016812,1,1,1,1,0
T016834,0,0,1,1,1
T017394,0,0,1,1,1
T017419,1,1,0,1,1
T018343,1,0,1,1,0
T019021,0,1,1,1,0
T019031,1,1,0,0,1
T019850,1,1,0,1,1
T019852,1,1,0,1,1
T019853,0,0,0,1,1
T020231,1,1,1,1,0
T021076,0,1,1,1,1
T021613,1,0,1,0,1
T022883,1,1,1,0,0
T023390,1,0,1,1,1
T023909,1,0,1,0,0
T024121,1,1,1,1,0
T025415,1,1,0,0,1
T028183,0,0,1,1,1
T029687,1,1,0,1,0
